timestamp,latency_ms,jitter_ms,loss_pct,bandwidth_mbps,queue_drops,delta_tx_bytes,delta_rx_bytes,rssi_dbm,server_cpu_pct,server_ram_pct,congestion_state
1070,5.057,0.624,0.0,0.0,0,0,0,-46,9.5,82.6,MEDIUM
1075,4.644,0.619,0.0,-1.0,0,0,0,-46,9.5,82.7,MEDIUM
1080,4.763,0.119,0.0,-1.0,0,0,0,-46,13.599999999999994,82.75,MEDIUM
1085,4.699,0.939,0.0,-1.0,0,0,0,-46,13.599999999999994,82.75,MEDIUM
1090,4.341,0.239,0.0,-1.0,0,0,0,-46,5.0,82.75,MEDIUM
1095,4.582,0.391,0.0,0.0,0,0,0,-46,13.599999999999994,82.86,MEDIUM
1100,4.93,0.603,0.0,-1.0,0,0,0,-46,9.5,83.06,MEDIUM
1105,4.763,0.322,0.0,-1.0,0,0,0,-46,9.5,83.06,MEDIUM
1110,4.386,0.331,0.0,-1.0,0,0,0,-46,9.5,83.06,MEDIUM
1115,4.027,0.39,0.0,-1.0,0,0,0,-46,13.599999999999994,83.06,MEDIUM
1120,4.162,0.579,0.0,0.0,0,0,0,-46,9.5,83.06,MEDIUM
1125,4.832,0.941,0.0,-1.0,0,0,0,-46,9.5,83.17,MEDIUM
1130,4.338,0.677,0.0,-1.0,0,0,0,-46,13.599999999999994,83.22,MEDIUM
1135,4.68,0.429,0.0,-1.0,0,0,0,-46,9.5,83.22,MEDIUM
1140,4.307,0.207,0.0,-1.0,0,0,0,-46,5.0,83.22,MEDIUM
1145,4.175,0.379,0.0,0.0,0,0,0,-46,9.5,83.27,MEDIUM
1150,4.434,0.355,0.0,-1.0,0,0,0,-46,10.0,83.43,MEDIUM
1155,6.322,0.742,0.0,-1.0,0,0,0,-46,14.299999999999997,83.48,MEDIUM
1160,5.373,0.62,0.0,-1.0,0,0,0,-46,14.299999999999997,83.53,MEDIUM
1165,4.64,0.411,0.0,-1.0,0,0,0,-46,10.0,83.59,MEDIUM
1170,4.693,0.452,0.0,0.0,0,0,0,-46,10.0,83.69,MEDIUM
1175,4.123,0.475,0.0,-1.0,0,0,0,-46,13.599999999999994,82.44,MEDIUM
1180,4.107,0.246,0.0,-1.0,0,0,0,-46,9.5,82.44,MEDIUM
1185,4.603,0.753,0.0,-1.0,0,0,0,-46,14.299999999999997,82.6,MEDIUM
1190,5.655,0.515,0.0,-1.0,0,0,0,-46,9.5,82.65,MEDIUM
1195,4.668,0.331,0.0,0.0,0,0,0,-46,10.0,82.6,MEDIUM
1200,4.319,0.652,0.0,-1.0,0,0,0,-46,13.599999999999994,82.65,MEDIUM
1205,4.679,0.328,0.0,-1.0,0,0,0,-46,9.5,82.65,MEDIUM
1210,6.409,2.283,0.0,-1.0,0,0,0,-46,9.5,82.65,MEDIUM
1215,3.984,0.611,0.0,-1.0,0,0,0,-46,9.5,82.65,MEDIUM
1220,4.466,0.105,0.0,0.0,0,0,0,-46,13.599999999999994,82.65,MEDIUM
1225,3.194,0.597,0.0,-1.0,0,0,0,-46,50.0,83.85,MEDIUM
1230,3.959,0.708,0.0,-1.0,0,0,0,-46,9.5,82.6,MEDIUM
1235,5.515,1.764,0.0,-1.0,0,0,0,-46,9.5,82.8,MEDIUM
1240,4.668,0.681,0.0,-1.0,0,0,0,-46,13.599999999999994,82.8,MEDIUM
1245,5.134,0.57,0.0,0.0,0,0,0,-46,10.0,82.86,MEDIUM
1250,3.643,0.987,0.0,-1.0,0,0,0,-46,76.2,82.86,MEDIUM
1255,3.926,0.459,0.0,-1.0,0,0,0,-46,9.5,82.18,MEDIUM
1260,4.14,1.092,0.0,-1.0,0,0,0,-46,9.5,82.44,MEDIUM
1265,5.282,0.594,0.0,-1.0,0,0,0,-46,5.0,82.18,MEDIUM
1270,4.328,0.37,0.0,0.0,0,0,0,-46,13.599999999999994,82.33,MEDIUM
1275,3.993,0.532,0.0,-1.0,0,0,0,-46,9.5,82.39,MEDIUM
1280,4.259,0.396,0.0,-1.0,0,0,0,-46,9.5,82.54,MEDIUM
